Country,,rgdpch1970,rgdpch2000,rgdpch2009,rgdpch1990,rgdpch1995,rgdpch2005,Growth Rate btw 1970-2009,Growth rates btw 1960 and 2009,Growth rate between 1990 and 2009,Growth rate btw 1995-2009,Growth Rate btw 2000 and 2009,Growth Rate between 2005 and 2009,rgdpch1960,1970 data,rgdpch1960,1995 data,1990 data,2000 data,africa,asia,westerneurope,,,,,,,,,,,,,,,,,
Mexico,,6345.24,10569.75,11628.87,8788.30,8617.76,11964.24,0.01565,,0.01485,0.02164,0.01067,-0.00708,4588.56,,4588.56,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,2278.95,3385.18,3330.40,2951.89,3682.75,3477.56,0.00978,,0.00637,-0.00716,-0.00181,-0.01075,0.00,"Micronesia, Fed. Sts.",2067.70,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,1580.04,2493.08,,1591.07,2236.68,#DIV/0!,,#DIV/0!,0.03260,0.05198,0.02750,0.00,,517.69,Moldova,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,1452.29,2148.02,3168.38,3145.71,1862.17,2604.58,0.02020,,0.00038,0.03869,0.04413,0.05021,0.00,Mongolia,1189.01,,,,,1,,,,,,,,,,,,,,,,,,
Montenegro,,,4910.02,7303.21,9127.93,3987.77,5886.65,#DIV/0!,,-0.01167,0.04417,0.04510,0.05539,0.00,,12980.95,,Montenegro,,,,,,,,,,,,,,,,,,,,,
Morocco,,1476.97,2560.11,3294.67,2348.43,2273.83,3045.38,0.02079,,0.01798,0.02684,0.02843,0.01987,736.76,,736.76,,,,1,,,,,,,,,,,,,,,,,,,
Mozambique,,412.51,437.69,759.37,405.60,359.38,634.06,0.01577,,0.03356,0.05489,0.06313,0.04612,357.70,,357.70,,,,1,,,,,,,,,,,,,,,,,,,
Namibia,,3793.53,3367.14,4777.39,3309.03,3196.93,4301.00,0.00593,,0.01952,0.02911,0.03964,0.02661,2481.49,,2481.49,,,,1,,,,,,,,,,,,,,,,,,,
Nepal,,685.99,1075.14,1211.67,867.34,963.26,1045.85,0.01469,,0.01775,0.01652,0.01337,0.03748,632.24,,632.24,,,,,1,,,,,,,,,,,,,,,,,,
Netherlands,,18596.18,34503.61,37050.73,26883.04,29074.50,35888.48,0.01783,,0.01703,0.01747,0.00795,0.00800,13017.26,,13017.26,,,,,,1,,,,,,,,,,,,,,,,,
New Zealand,,16328.53,23645.36,27864.89,19584.17,21371.69,27448.55,0.01380,,0.01873,0.01913,0.01841,0.00377,13802.20,,13802.20,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,3669.18,2072.81,2191.73,2179.51,1857.56,2056.17,-0.01313,,0.00029,0.01189,0.00622,0.01609,2546.28,,2546.28,,,,,,,,,,,,,,,,,,,,,,,
Niger,,788.94,475.73,534.36,505.88,476.61,524.59,-0.00994,,0.00289,0.00820,0.01300,0.00463,746.19,,746.19,,,,1,,,,,,,,,,,,,,,,,,,
Nigeria,,1388.27,1135.61,2033.90,1179.95,1085.38,1543.59,0.00984,,0.02907,0.04588,0.06690,0.07139,1527.86,,1527.86,,,,1,,,,,,,,,,,,,,,,,,,
Norway,,17603.14,44833.86,49945.47,32324.17,38093.51,48707.91,0.02710,,0.02317,0.01954,0.01207,0.00629,12283.61,,12283.61,,,,,,1,,,,,,,,,,,,,,,,,
Oman,,6872.75,17402.04,20511.36,13672.08,15309.03,18399.12,0.02843,,0.02158,0.02112,0.01843,0.02754,0.00,Oman,5192.43,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,1148.15,1858.14,2353.25,1931.36,2052.14,2112.27,0.01857,,0.01045,0.00983,0.02659,0.02738,727.62,,727.62,,,,,1,,,,,,,,,,,,,,,,,,
Palau,,,13388.58,14985.49,17862.09,14750.15,14190.26,#DIV/0!,,-0.00920,0.00113,0.01260,0.01372,0.00,,23569.20,,Palau,,,,,,,,,,,,,,,,,,,,,
Panama,,3442.65,6969.63,10197.56,5619.93,6362.18,7820.06,0.02824,,0.03186,0.03427,0.04319,0.06862,2170.94,,2170.94,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,1338.06,2139.15,2746.13,1815.92,2283.15,2197.56,0.01861,,0.02201,0.01328,0.02814,0.05729,886.96,,886.96,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,2078.28,3396.07,3704.46,3793.45,3575.33,3554.07,0.01493,,-0.00125,0.00254,0.00970,0.01041,1847.32,,1847.32,,,,,,,,,,,,,,,,,,,,,,,
Peru,,5138.08,5024.31,7280.16,4002.74,4802.76,5837.65,0.00898,,0.03198,0.03016,0.04207,0.05676,3758.60,,3758.60,,,,,,,,,,,,,,,,,,,,,,,
Philippines,,1574.89,2411.02,2838.31,2067.49,2073.65,2461.68,0.01522,,0.01682,0.02267,0.01829,0.03623,1314.36,,1314.36,,,,,1,,,,,,,,,,,,,,,,,,
Poland,,6060.57,11485.89,16372.87,7668.14,8852.29,13481.02,0.02581,,0.04073,0.04490,0.04018,0.04979,0.00,Poland,4697.25,,,,,,1,,,,,,,,,,,,,,,,,
Portugal,,7493.74,19249.64,19889.94,14893.95,15959.63,20098.11,0.02535,,0.01534,0.01585,0.00364,-0.00260,4002.81,,4002.81,,,,,,1,,,,,,,,,,,,,,,,,
Puerto Rico,,10412.07,25576.77,23660.45,18185.62,19653.12,26152.34,0.02127,,0.01395,0.01334,-0.00862,-0.02472,5716.37,,5716.37,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,74209.59,159469.10,52437.46,49599.48,87454.68,#DIV/0!,,0.06029,0.08700,0.08871,0.16205,0.00,,9056.39,,Qatar,,,,,,,,,,,,,,,,,,,,,
Romania,,3188.63,6113.58,9736.61,6906.84,6124.36,8345.30,0.02904,,0.01824,0.03367,0.05307,0.03930,1511.20,,1511.20,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,8716.11,14631.24,13076.32,8245.90,12356.99,#DIV/0!,,0.00593,0.04181,0.05924,0.04314,0.00,,10950.65,,Russia,,,,,,,,,,,,,,,,,,,,,
Rwanda,,788.14,661.59,1031.23,773.41,650.46,839.09,0.00692,,0.01526,0.03346,0.05056,0.05290,860.19,,860.19,,,,1,,,,,,,,,,,,,,,,,,,
Samoa,,4081.63,5554.48,6544.96,4725.35,4751.31,6663.55,0.01218,,0.01729,0.02314,0.01840,-0.00448,0.00,Samoa,3616.19,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,1116.28,1013.67,1680.51,1031.73,1014.64,1415.12,0.01054,,0.02601,0.03670,0.05778,0.04391,0.00,Sao Tome and Principe,1005.12,,,,1,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,17243.90,21589.18,17252.01,16158.03,19665.46,#DIV/0!,,0.01187,0.02091,0.02528,0.02361,0.00,,12107.54,,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,
Senegal,,1276.41,1323.21,1492.06,1125.05,1166.70,1464.73,0.00401,,0.01497,0.01773,0.01343,0.00463,1421.40,,1421.40,,,,1,,,,,,,,,,,,,,,,,,,
Serbia,,,,8527.58,,,7292.61,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,0.03989,0.00,,#DIV/0!,,,Sebia,,,,,,,,,,,,,,,,,,,,
Seychelles,,5129.15,17502.66,23805.29,13037.00,14500.72,22595.29,0.04014,,0.03220,0.03604,0.03476,0.01313,3677.19,,3677.19,,,,1,,,,,,,,,,,,,,,,,,,
Sierra Leone,,982.21,529.56,872.93,1045.96,874.78,744.16,-0.00302,,-0.00947,-0.00015,0.05711,0.04071,0.00,Sierra Leone,1012.36,,,,1,,,,,,,,,,,,,,,,,,,
Singapore,,6808.50,38291.48,47373.36,22987.87,31371.69,41875.77,0.05100,,0.03879,0.02988,0.02393,0.03132,4299.92,,4299.92,,,,,1,,,,,,,,,,,,,,,,,,
Slovak Republic,,,12445.34,19125.11,11983.44,10555.62,15643.92,#DIV/0!,,0.02491,0.04337,0.04890,0.05151,0.00,,5728.22,,Slovak Republic,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,19102.98,24925.14,15469.47,15428.05,23276.73,#DIV/0!,,0.02542,0.03486,0.03000,0.01725,0.00,,7284.12,,Slovenia,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,1359.94,1331.54,2005.00,1599.65,1787.92,1427.42,0.01000,,0.01196,0.00822,0.04653,0.08866,0.00,Solomon Islands,1231.10,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,914.38,462.39,460.90,691.73,490.05,454.31,-0.01741,,-0.02114,-0.00437,-0.00036,0.00361,0.00,Somalia,1089.96,,,,1,,,,,,,,,,,,,,,,,,,
South Africa,,5281.00,5893.56,7588.59,5389.47,5382.75,6960.81,0.00934,,0.01817,0.02484,0.02849,0.02182,3849.71,,3849.71,,,,1,,,,,,,,,,,,,,,,,,,
Spain,,11980.47,25626.46,27633.98,19966.59,21226.89,27986.46,0.02166,,0.01725,0.01902,0.00842,-0.00316,6294.55,,6294.55,,,,,,1,,,,,,,,,,,,,,,,,
Sri Lanka,,1123.58,2849.30,4034.65,1896.48,2309.64,3322.89,0.03332,,0.04053,0.04065,0.03941,0.04972,765.12,,765.12,,,,,1,,,,,,,,,,,,,,,,,,
St. Kitts & Nevis,,2032.64,10008.87,12754.13,6705.43,8486.87,12694.32,0.04822,,0.03442,0.02952,0.02730,0.00118,0.00,St. Kitts & Nevis,1269.26,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,4602.56,10637.25,13096.50,9170.91,9417.57,11764.37,0.02718,,0.01893,0.02383,0.02338,0.02718,0.00,St. Lucia,3520.06,,,,,,,,,,,,,,,,,,,,,,,
St.Vincent & Grenadines,,1644.02,4311.14,7372.56,3466.76,3767.59,5119.56,0.03923,,0.04051,0.04912,0.06143,0.09546,0.00,St.Vincent & Grenadines,1118.93,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,1438.85,1773.40,2188.43,1175.85,1307.98,1875.36,0.01081,,0.03323,0.03745,0.02364,0.03935,0.00,Sudan,1292.16,,,,1,,,,,,,,,,,,,,,,,,,
Suriname,,7107.26,6527.52,10651.14,8738.72,6924.58,9289.50,0.01043,,0.01047,0.03123,0.05591,0.03479,0.00,Suriname,6406.97,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,1222.50,3174.03,3439.25,3080.10,3084.77,3316.00,0.02688,,0.00582,0.00780,0.00896,0.00917,0.00,Swaziland,937.70,,,,1,,,,,,,,,,,,,,,,,,,
Sweden,,19142.85,30646.69,35224.61,26584.36,26510.97,34856.35,0.01576,,0.01492,0.02051,0.01559,0.00263,13322.57,,13322.57,,,,,,1,,,,,,,,,,,,,,,,,
Switzerland,,25963.87,36415.73,39621.20,34956.14,33568.12,37568.61,0.01090,,0.00661,0.01191,0.00942,0.01339,18955.18,,18955.18,,,,,,1,,,,,,,,,,,,,,,,,
Syria,,1826.89,3485.52,4002.14,2571.97,3272.55,3850.04,0.02031,,0.02354,0.01448,0.01548,0.00973,1600.01,,1600.01,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,,3501.50,23227.95,28694.18,13660.52,18487.45,26999.76,0.05542,,0.03984,0.03190,0.02376,0.01533,1826.40,,1826.40,,,,,1,,,,,,,,,,,,,,,,,,
Tajikistan,,,1060.87,1872.64,,969.67,1523.25,#DIV/0!,,#DIV/0!,0.04813,0.06518,0.05298,0.00,,187.09,Tajikistan,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,622.77,719.34,1189.05,663.35,641.80,940.95,0.01672,,0.03119,0.04503,0.05743,0.06025,481.38,,481.38,,,,1,,,,,,,,,,,,,,,,,,,
Thailand,,1576.08,5762.35,7794.25,4455.12,6162.25,7110.57,0.04184,,0.02988,0.01692,0.03413,0.02322,961.44,,961.44,,,,,1,,,,,,,,,,,,,,,,,,
Timor-Leste,,,1132.59,1155.06,,,919.67,#DIV/0!,,#DIV/0!,#DIV/0!,0.00218,0.05863,0.00,,1037.93017,,,Timor-Leste,,,,,,,,,,,,,,,,,,,,
Togo,,1239.43,838.73,734.13,1051.17,884.91,737.84,-0.01334,,-0.01872,-0.01325,-0.01469,-0.00126,765.23,,765.23,,,,,1,,,,,,,,,,,,,,,,,,
Tonga,,2742.25,6485.21,7875.62,5322.50,6121.87,7822.86,0.02742,,0.02084,0.01816,0.02182,0.00168,0.00,Tonga,2092.31,,,,,,,,,,,,,,,,,,,,,,,
Trinidad &Tobago,,9681.88,15035.28,30994.84,9211.75,10072.27,22922.41,0.03028,,0.06594,0.08360,0.08370,0.07834,6449.94,,6449.94,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,2076.95,4623.63,6300.92,3354.39,3679.17,5379.79,0.02887,,0.03374,0.03918,0.03499,0.04030,0.00,Tunisia,1562.58,,,,,1,,,,,,,,,,,,,,,,,,
Turkey,,4416.63,8396.58,9909.50,6892.54,7356.68,9721.14,0.02094,,0.01929,0.02151,0.01858,0.00481,3243.48,,3243.48,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,,,4370.61,6934.25,,3612.45,5144.97,#DIV/0!,,#DIV/0!,0.04768,0.05262,0.07747,0.00,,707.63,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,
Uganda,,816.94,820.50,1151.70,553.07,691.32,1000.12,0.00884,,0.03936,0.03713,0.03839,0.03591,655.38,,655.38,,,,1,,,,,,,,,,,,,,,,,,,
Ukraine,,,3918.16,6404.89,,4003.15,6028.72,#DIV/0!,,#DIV/0!,0.03414,0.05612,0.01525,0.00,,1236.31,Ukraine,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,37938.40,52945.86,41409.23,38579.19,47692.29,#DIV/0!,,0.01302,0.02287,0.03773,0.02647,0.00,,28091.08,,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,15829.06,30231.26,33383.26,24437.48,26134.32,34181.11,0.01932,,0.01655,0.01764,0.01108,-0.00589,12841.08,,12841.08,,,,,,1,,,,,,,,,,,,,,,,,
United States,,20479.87,39175.21,41099.10,31636.30,33689.04,42534.82,0.01802,,0.01387,0.01430,0.00534,-0.00855,15438.08,,15438.08,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,4864.29,8501.41,11069.14,6049.03,7749.49,8908.40,0.02131,,0.03231,0.02579,0.02976,0.05579,4753.07,,4753.07,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,1462.68,2384.45,1871.65,1339.20,1802.08,#DIV/0!,,0.01283,0.04207,0.05580,0.07252,0.00,,1276.95,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,3076.27,5533.11,6536.01,4707.25,5526.63,5354.56,0.01951,,0.01743,0.01205,0.01868,0.05111,0.00,Vanuatu,2535.74,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,8935.77,8315.29,9115.39,7810.06,8606.98,8552.21,0.00051,,0.00817,0.00411,0.01026,0.01607,6662.75,,6662.75,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,569.42,1675.27,2872.62,941.81,1280.02,2320.52,0.04237,,0.06045,0.05944,0.06175,0.05481,0.00,Vietnam,376.03,,,,,1,,,,,,,,,,,,,,,,,,
Yemen,,,2122.24,2396.98,1440.06,1652.48,2420.97,#DIV/0!,,0.02718,0.02692,0.01362,-0.00249,0.00,,644.15,,Yemen,,,,,,,,,,,,,,,,,,,,,
Zambia,,2300.14,828.82,1764.77,1206.74,901.25,1396.20,-0.00677,,0.02021,0.04917,0.08760,0.06032,1803.06,,1803.06,,,,1,,,,,,,,,,,,,,,,,,,
Zimbabwe,,338.64,369.47,142.55,366.87,359.43,169.07,-0.02194,,-0.04854,-0.06392,-0.10041,-0.04175,279.80,,279.80,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,rgdpch1970,rgdpch2000,rgdpch2009,rgdpch1990,rgdpch1995,rgdpch2005,,,,,,,rgdpch1960,,rgdpch1960,,,,africa,asia,westerneurope,,,,,,,,,,,,,,,,,
Afghanistan,,857.88,382.76,1169.65,704.74,447.96,666.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,2465.51,3520.01,6643.01,2811.20,2740.26,5030.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,4025.37,4933.50,6069.56,4961.89,4517.03,5899.73,,,,,,,4078.73,,4078.73,,,,1,,,,,,,,,,,,,,,,,,,
Angola,,2450.13,2335.86,4754.68,2358.59,1997.20,3108.69,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,4638.48,13898.33,15091.07,11753.20,12816.81,14919.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,7810.62,9171.57,11961.40,6822.32,8577.79,9974.55,,,,,,,6243.57,,6243.57,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,2566.03,5368.11,,1914.97,4541.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,18166.63,33210.24,41304.39,25751.63,28828.31,38392.01,,,,,,,13116.90,,13116.90,,,,,,,,,,,,,,,,,,,,,,,
Austria,,15851.21,33699.06,37401.78,27807.20,29519.22,35633.77,,,,,,,10632.79,,10632.79,,,,,,1,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,,19069.96,24159.45,28396.37,22054.83,20888.72,27464.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,22315.91,20968.02,23548.20,18651.21,19508.87,22389.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,794.35,987.41,1397.12,808.94,873.62,1191.93,,,,,,,802.07,,802.07,,,,,1,,,,,,,,,,,,,,,,,,
Barbados,,14266.78,23376.45,22917.24,21871.19,20808.54,23370.84,,,,,,,7647.78,,7647.78,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,6251.94,12786.74,,4333.93,9406.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,15896.94,31495.45,34624.98,26233.64,27689.11,33724.13,,,,,,,10240.59,,10240.59,,,,,,1,,,,,,,,,,,,,,,,,
Belize,,4298.42,7736.97,8460.33,6229.21,7562.02,9026.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,887.72,1150.82,1115.71,1071.17,1093.97,1190.41,,,,,,,801.33,,801.33,,,,1,,,,,,,,,,,,,,,,,,,
Bermuda,,25683.04,35125.20,52089.88,34485.13,35043.81,46567.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,838.02,2787.36,4567.57,1645.94,2202.57,3564.22,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Bolivia,,2776.96,3223.50,3793.44,2800.57,3050.01,3428.27,,,,,,,2713.58,,2713.58,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,5883.09,7115.79,1742.33,2242.33,4981.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,1125.79,8579.87,8871.53,5803.38,5583.70,9309.37,,,,,,,578.04,,578.04,,,,1,,,,,,,,,,,,,,,,,,,
Brazil,,3998.80,6975.96,8160.39,6398.99,6786.77,7386.74,,,,,,,2581.05,,2581.05,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,59140.94,49510.34,46228.93,54200.09,49386.85,50021.04,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
